match_id,date,group,team_a,team_b,score,team_a_total_attempts,team_a_shots_on_target,team_b_total_attempts,team_b_shots_on_target,evidence_type,evidence_url,fifa_match_url,fifa_fulltime_report_url,fifa_summary_report_url
400021455,2026-06-24,C,Scotland,Brazil,0–3,14,5,21,8,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12464/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021455,https://fdp.fifa.org/assetspublic/ce281/r12464/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M49-SCO-V-BRA.pdf
400021452,2026-06-24,C,Morocco,Haiti,4–2,23,11,8,2,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12461/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021452,https://fdp.fifa.org/assetspublic/ce281/r12461/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M50-MAR-V-HAI.pdf
400021458,2026-06-12,D,United States,Paraguay,4–1,16,6,9,1,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12467/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021458,https://fdp.fifa.org/assetspublic/ce281/r12467/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M04-USA-V-PAR.pdf
400021463,2026-06-13,D,Australia,Turkey,2–0,9,4,30,8,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12472/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021463,https://fdp.fifa.org/assetspublic/ce281/r12472/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M06-AUS-V-TUR.pdf
400021462,2026-06-19,D,United States,Australia,2–0,10,2,5,2,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12471/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021462,https://fdp.fifa.org/assetspublic/ce281/r12471/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M32-USA-V-AUS.pdf
400021460,2026-06-19,D,Turkey,Paraguay,0–1,32,5,7,2,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12470/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021460,https://fdp.fifa.org/assetspublic/ce281/r12470/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M31-TUR-V-PAR.pdf
400021459,2026-06-25,D,Turkey,United States,3–2,8,4,18,7,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12468/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021459,https://fdp.fifa.org/assetspublic/ce281/r12468/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M59-TUR-v-USA.pdf
400021461,2026-06-25,D,Paraguay,Australia,0–0,7,2,12,5,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12469/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021461,https://fdp.fifa.org/assetspublic/ce281/r12469/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M60-PAR-V-AUS.pdf
400021464,2026-06-14,E,Germany,Curaçao,7–1,26,11,8,2,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12473/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021464,https://fdp.fifa.org/assetspublic/ce281/r12473/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M10-GER-V-CUW-V2.pdf
400021467,2026-06-14,E,Ivory Coast,Ecuador,1–0,,4,,1,FIFA Training Centre post-match summary,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M09-CIV-V-ECU.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021467,https://fdp.fifa.org/assetspublic/ce281/r12476/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M09-CIV-V-ECU.pdf
400021469,2026-06-20,E,Germany,Ivory Coast,2–1,16,7,9,2,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12478/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021469,https://fdp.fifa.org/assetspublic/ce281/r12478/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M33-GER-V-CIV.pdf
400021465,2026-06-20,E,Ecuador,Curaçao,0–0,28,15,10,3,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12474/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021465,https://fdp.fifa.org/assetspublic/ce281/r12474/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M34-ECU-V-CUW.pdf
400021468,2026-06-25,E,Curaçao,Ivory Coast,0–2,,2,,3,FIFA Training Centre post-match summary,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M55-CUW-V-CIV.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021468,https://fdp.fifa.org/assetspublic/ce281/r12477/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M55-CUW-V-CIV.pdf
400021466,2026-06-25,E,Ecuador,Germany,2–1,7,3,11,3,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12475/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021466,https://fdp.fifa.org/assetspublic/ce281/r12475/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M56-ECU-V-GER.pdf
400021470,2026-06-14,F,Netherlands,Japan,2–2,10,6,10,3,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12480/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021470,https://fdp.fifa.org/assetspublic/ce281/r12480/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M11-NED-V-JPN.pdf
